Date,Trip ID,Duration,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscriber Type,Zip Code,Count
15-09-01,1389,1389,1389,1389,1389,1389,1389,1389,1389,1389,1389,1389
15-09-02,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313
15-09-03,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294
15-09-04,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129
15-09-05,386,386,386,386,386,386,386,386,386,386,384,386
15-09-06,318,318,318,318,318,318,318,318,318,318,318,318
15-09-07,318,318,318,318,318,318,318,318,318,318,317,318
15-09-08,1333,1333,1333,1333,1333,1333,1333,1333,1333,1333,1333,1333
15-09-09,1405,1405,1405,1405,1405,1405,1405,1405,1405,1405,1401,1405
15-09-10,1357,1357,1357,1357,1357,1357,1357,1357,1357,1357,1357,1357
15-09-11,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165
15-09-12,360,360,360,360,360,360,360,360,360,360,360,360
15-09-13,301,301,301,301,301,301,301,301,301,301,301,301
15-09-14,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177
15-09-15,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423
15-09-16,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239
15-09-17,1312,1312,1312,1312,1312,1312,1312,1312,1312,1312,1312,1312
15-09-18,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272
15-09-19,402,402,402,402,402,402,402,402,402,402,400,402
15-09-20,325,325,325,325,325,325,325,325,325,325,323,325
15-09-21,1343,1343,1343,1343,1343,1343,1343,1343,1343,1343,1341,1343
15-09-22,1355,1355,1355,1355,1355,1355,1355,1355,1355,1355,1355,1355
15-09-23,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1229,1230
15-09-24,1342,1342,1342,1342,1342,1342,1342,1342,1342,1342,1342,1342
15-09-25,1280,1280,1280,1280,1280,1280,1280,1280,1280,1280,1278,1280
15-09-26,364,364,364,364,364,364,364,364,364,364,363,364
15-09-27,349,349,349,349,349,349,349,349,349,349,349,349
15-09-28,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304
15-09-29,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1406,1408
15-09-30,1203,1203,1203,1203,1203,1203,1203,1203,1203,1203,1203,1203
15-10-01,1253,1253,1253,1253,1253,1253,1253,1253,1253,1253,1253,1253
15-10-02,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195
15-10-03,304,304,304,304,304,304,304,304,304,304,303,304
15-10-04,309,309,309,309,309,309,309,309,309,309,309,309
15-10-05,1287,1287,1287,1287,1287,1287,1287,1287,1287,1287,1287,1287
15-10-06,1326,1326,1326,1326,1326,1326,1326,1326,1326,1326,1326,1326
15-10-07,1326,1326,1326,1326,1326,1326,1326,1326,1326,1326,1326,1326
15-10-08,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1284,1285
15-10-09,1196,1196,1196,1196,1196,1196,1196,1196,1196,1196,1195,1196
15-10-10,393,393,393,393,393,393,393,393,393,393,391,393
15-10-11,483,483,483,483,483,483,483,483,483,483,483,483
15-10-12,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142
15-10-13,1397,1397,1397,1397,1397,1397,1397,1397,1397,1397,1397,1397
15-10-14,1371,1371,1371,1371,1371,1371,1371,1371,1371,1371,1371,1371
15-10-15,1283,1283,1283,1283,1283,1283,1283,1283,1283,1283,1283,1283
15-10-16,1190,1190,1190,1190,1190,1190,1190,1190,1190,1190,1190,1190
15-10-17,292,292,292,292,292,292,292,292,292,292,292,292
15-10-18,259,259,259,259,259,259,259,259,259,259,259,259
15-10-19,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1291,1292
15-10-20,1403,1403,1403,1403,1403,1403,1403,1403,1403,1403,1403,1403
15-10-21,1328,1328,1328,1328,1328,1328,1328,1328,1328,1328,1328,1328
15-10-22,1328,1328,1328,1328,1328,1328,1328,1328,1328,1328,1328,1328
15-10-23,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204
15-10-24,345,345,345,345,345,345,345,345,345,345,341,345
15-10-25,295,295,295,295,295,295,295,295,295,295,291,295
15-10-26,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260
15-10-27,1270,1270,1270,1270,1270,1270,1270,1270,1270,1270,1270,1270
15-10-28,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235
