Date,Trip ID,Duration,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscriber Type,Zip Code,Count
15-09-01,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254
15-09-02,1183,1183,1183,1183,1183,1183,1183,1183,1183,1183,1183,1183
15-09-03,1183,1183,1183,1183,1183,1183,1183,1183,1183,1183,1183,1183
15-09-04,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002
15-09-05,350,350,350,350,350,350,350,350,350,350,348,350
15-09-06,263,263,263,263,263,263,263,263,263,263,263,263
15-09-07,293,293,293,293,293,293,293,293,293,293,292,293
15-09-08,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
15-09-09,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1288,1292
15-09-10,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211
15-09-11,1057,1057,1057,1057,1057,1057,1057,1057,1057,1057,1057,1057
15-09-12,327,327,327,327,327,327,327,327,327,327,327,327
15-09-13,271,271,271,271,271,271,271,271,271,271,271,271
15-09-14,1063,1063,1063,1063,1063,1063,1063,1063,1063,1063,1063,1063
15-09-15,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301
15-09-16,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128
15-09-17,1190,1190,1190,1190,1190,1190,1190,1190,1190,1190,1190,1190
15-09-18,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141
15-09-19,349,349,349,349,349,349,349,349,349,349,349,349
15-09-20,289,289,289,289,289,289,289,289,289,289,287,289
15-09-21,1228,1228,1228,1228,1228,1228,1228,1228,1228,1228,1226,1228
15-09-22,1242,1242,1242,1242,1242,1242,1242,1242,1242,1242,1242,1242
15-09-23,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1115,1116
15-09-24,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236
15-09-25,1199,1199,1199,1199,1199,1199,1199,1199,1199,1199,1197,1199
15-09-26,308,308,308,308,308,308,308,308,308,308,308,308
15-09-27,313,313,313,313,313,313,313,313,313,313,313,313
15-09-28,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207
15-09-29,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1288,1290
15-09-30,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
15-10-01,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157
15-10-02,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105
15-10-03,264,264,264,264,264,264,264,264,264,264,263,264
15-10-04,284,284,284,284,284,284,284,284,284,284,284,284
15-10-05,1184,1184,1184,1184,1184,1184,1184,1184,1184,1184,1184,1184
15-10-06,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212
15-10-07,1233,1233,1233,1233,1233,1233,1233,1233,1233,1233,1233,1233
15-10-08,1169,1169,1169,1169,1169,1169,1169,1169,1169,1169,1168,1169
15-10-09,1082,1082,1082,1082,1082,1082,1082,1082,1082,1082,1081,1082
15-10-10,362,362,362,362,362,362,362,362,362,362,360,362
15-10-11,393,393,393,393,393,393,393,393,393,393,393,393
15-10-12,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061
15-10-13,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285
15-10-14,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265
15-10-15,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157
15-10-16,1087,1087,1087,1087,1087,1087,1087,1087,1087,1087,1087,1087
15-10-17,260,260,260,260,260,260,260,260,260,260,260,260
15-10-18,211,211,211,211,211,211,211,211,211,211,211,211
