,station_id,name,lat,long,dockcount,landmark,installation
18,41.0,Clay at Battery,37.795001,-122.39997,15.0,San Francisco,8/19/2013
19,42.0,Davis at Jackson,37.79728,-122.398436,15.0,San Francisco,8/19/2013
20,45.0,Commercial at Montgomery,37.794230999999996,-122.402923,15.0,San Francisco,8/19/2013
21,46.0,Washington at Kearney,37.795425,-122.40476699999999,15.0,San Francisco,8/19/2013
22,47.0,Post at Kearney,37.788975,-122.403452,19.0,San Francisco,8/19/2013
23,48.0,Embarcadero at Vallejo,37.799953,-122.398525,15.0,San Francisco,8/19/2013
24,49.0,Spear at Folsom,37.790302000000004,-122.39063700000001,19.0,San Francisco,8/20/2013
25,50.0,Harry Bridges Plaza (Ferry Building),37.795392,-122.394203,23.0,San Francisco,8/20/2013
26,51.0,Embarcadero at Folsom,37.791464000000005,-122.391034,19.0,San Francisco,8/20/2013
27,39.0,Powell Street BART,37.783871000000005,-122.408433,19.0,San Francisco,8/25/2013
28,54.0,Embarcadero at Bryant,37.787152,-122.38801299999999,15.0,San Francisco,8/20/2013
29,55.0,Temporary Transbay Terminal (Howard at Beale),37.789756,-122.39464299999999,23.0,San Francisco,8/20/2013
30,56.0,Beale at Market,37.792251,-122.39708600000002,19.0,San Francisco,8/20/2013
31,57.0,5th at Howard,37.781752000000004,-122.40512700000001,15.0,San Francisco,8/21/2013
32,58.0,San Francisco City Hall,37.77865,-122.41823500000001,19.0,San Francisco,8/21/2013
33,59.0,Golden Gate at Polk,37.781332,-122.418603,23.0,San Francisco,8/21/2013
34,60.0,Embarcadero at Sansome,37.80477,-122.40323400000001,15.0,San Francisco,8/21/2013
35,61.0,2nd at Townsend,37.780526,-122.39028799999998,27.0,San Francisco,8/22/2013
36,62.0,2nd at Folsom,37.785299,-122.39623600000002,19.0,San Francisco,8/22/2013
37,63.0,Howard at 2nd,37.786978000000005,-122.39810800000001,19.0,San Francisco,8/22/2013
38,64.0,2nd at South Park,37.782259,-122.392738,15.0,San Francisco,8/22/2013
39,65.0,Townsend at 7th,37.771058000000004,-122.402717,15.0,San Francisco,8/22/2013
40,66.0,South Van Ness at Market,37.774814,-122.418954,19.0,San Francisco,8/23/2013
41,67.0,Market at 10th,37.776619000000004,-122.41738500000001,27.0,San Francisco,8/23/2013
42,68.0,Yerba Buena Center of the Arts (3rd @ Howard),37.784878000000006,-122.40101399999999,19.0,San Francisco,8/23/2013
43,69.0,San Francisco Caltrain 2 (330 Townsend),37.7766,-122.39546999999999,23.0,San Francisco,8/23/2013
44,70.0,San Francisco Caltrain (Townsend at 4th),37.776617,-122.39526000000001,19.0,San Francisco,8/23/2013
45,71.0,Powell at Post (Union Square),37.788446,-122.408499,19.0,San Francisco,8/23/2013
46,72.0,Civic Center BART (7th at Market),37.781039,-122.411748,23.0,San Francisco,8/23/2013
47,73.0,Grant Avenue at Columbus Avenue,37.7979,-122.405942,19.0,San Francisco,5/19/2016
48,74.0,Steuart at Market,37.794139,-122.394434,23.0,San Francisco,8/25/2013
49,75.0,Mechanics Plaza (Market at Battery),37.7913,-122.399051,19.0,San Francisco,8/25/2013
50,76.0,Market at 4th,37.786305,-122.40496599999999,19.0,San Francisco,8/25/2013
51,77.0,Market at Sansome,37.789625,-122.400811,27.0,San Francisco,8/25/2013
52,82.0,Broadway St at Battery St,37.798541,-122.40086200000002,15.0,San Francisco,1/22/2014
53,90.0,5th St at Folsom St,37.780148,-122.403158,31.0,San Francisco,8/4/16
54,91.0,Cyril Magnin St at Ellis St,37.785908,-122.408891,35.0,San Francisco,8/4/16
