,station_id,bikes_available,docks_available,time,TimeStamp,Hour_Min
32487687,76,13,6,9/1/2015 00:00:02,15-09-01,00:00
32487702,76,13,6,9/1/2015 00:15:02,15-09-01,00:15
32487717,76,13,6,9/1/2015 00:30:02,15-09-01,00:30
32487732,76,13,6,9/1/2015 00:45:03,15-09-01,00:45
32487747,76,13,6,9/1/2015 01:00:02,15-09-01,01:00
32487762,76,13,6,9/1/2015 01:15:02,15-09-01,01:15
32487777,76,13,6,9/1/2015 01:30:02,15-09-01,01:30
32487792,76,13,6,9/1/2015 01:45:02,15-09-01,01:45
32487807,76,13,6,9/1/2015 02:00:02,15-09-01,02:00
32487822,76,13,6,9/1/2015 02:15:03,15-09-01,02:15
32487837,76,13,6,9/1/2015 02:30:03,15-09-01,02:30
32487852,76,13,6,9/1/2015 02:45:02,15-09-01,02:45
32487867,76,13,6,9/1/2015 03:00:02,15-09-01,03:00
32487882,76,13,6,9/1/2015 03:15:02,15-09-01,03:15
32487897,76,13,6,9/1/2015 03:30:02,15-09-01,03:30
32487912,76,13,6,9/1/2015 03:45:03,15-09-01,03:45
32487927,76,13,6,9/1/2015 04:00:03,15-09-01,04:00
32487942,76,13,6,9/1/2015 04:15:02,15-09-01,04:15
32487957,76,13,6,9/1/2015 04:30:02,15-09-01,04:30
32487972,76,13,6,9/1/2015 04:45:02,15-09-01,04:45
32487987,76,13,6,9/1/2015 05:00:02,15-09-01,05:00
32488002,76,13,6,9/1/2015 05:15:02,15-09-01,05:15
32488017,76,13,6,9/1/2015 05:30:02,15-09-01,05:30
32488032,76,13,6,9/1/2015 05:45:02,15-09-01,05:45
32488047,76,13,6,9/1/2015 06:00:03,15-09-01,06:00
32488062,76,13,6,9/1/2015 06:15:02,15-09-01,06:15
32488077,76,14,5,9/1/2015 06:30:03,15-09-01,06:30
32488092,76,14,5,9/1/2015 06:45:03,15-09-01,06:45
32488107,76,15,4,9/1/2015 07:00:02,15-09-01,07:00
32488122,76,15,4,9/1/2015 07:15:02,15-09-01,07:15
32488137,76,15,4,9/1/2015 07:30:02,15-09-01,07:30
32488152,76,15,4,9/1/2015 07:45:02,15-09-01,07:45
32488167,76,17,2,9/1/2015 08:00:02,15-09-01,08:00
32488182,76,18,1,9/1/2015 08:15:02,15-09-01,08:15
32488197,76,16,3,9/1/2015 08:30:02,15-09-01,08:30
32488212,76,16,3,9/1/2015 08:45:02,15-09-01,08:45
32488227,76,16,3,9/1/2015 09:00:03,15-09-01,09:00
32488242,76,17,2,9/1/2015 09:15:02,15-09-01,09:15
32488257,76,19,0,9/1/2015 09:30:01,15-09-01,09:30
32488272,76,18,1,9/1/2015 09:45:02,15-09-01,09:45
32488287,76,10,9,9/1/2015 10:00:02,15-09-01,10:00
32488302,76,10,9,9/1/2015 10:15:01,15-09-01,10:15
32488317,76,11,8,9/1/2015 10:30:02,15-09-01,10:30
32488332,76,11,8,9/1/2015 10:45:02,15-09-01,10:45
32488347,76,11,8,9/1/2015 11:00:02,15-09-01,11:00
32488362,76,12,7,9/1/2015 11:15:02,15-09-01,11:15
32488377,76,12,7,9/1/2015 11:30:02,15-09-01,11:30
32488392,76,13,6,9/1/2015 11:45:03,15-09-01,11:45
32488407,76,12,7,9/1/2015 12:00:02,15-09-01,12:00
32488422,76,11,8,9/1/2015 12:15:02,15-09-01,12:15
32488437,76,11,8,9/1/2015 12:30:02,15-09-01,12:30
32488452,76,15,4,9/1/2015 12:45:02,15-09-01,12:45
32488467,76,14,5,9/1/2015 13:00:03,15-09-01,13:00
32488482,76,14,5,9/1/2015 13:15:03,15-09-01,13:15
32488497,76,16,3,9/1/2015 13:30:02,15-09-01,13:30
32488512,76,16,3,9/1/2015 13:45:02,15-09-01,13:45
32488527,76,15,4,9/1/2015 14:00:03,15-09-01,14:00
32488542,76,14,5,9/1/2015 14:15:02,15-09-01,14:15
32488557,76,12,7,9/1/2015 14:30:03,15-09-01,14:30
32488572,76,9,10,9/1/2015 14:45:02,15-09-01,14:45
32488587,76,9,10,9/1/2015 15:00:02,15-09-01,15:00
32488602,76,10,9,9/1/2015 15:15:02,15-09-01,15:15
32488617,76,11,8,9/1/2015 15:30:02,15-09-01,15:30
32488632,76,11,8,9/1/2015 15:45:02,15-09-01,15:45
32488647,76,11,8,9/1/2015 16:00:02,15-09-01,16:00
